#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Actinoschoenus_repens,1
Actinoschoenus_thouarsii,1
Actinoscirpus_grossus,1
Afrotrilepis_jaegeri,1
Afrotrilepis_pilosa,1
Alinula_lipocarphioides,1
Alinula_malawica,1
Alinula_paradoxa,1
Alinula_peteri,1
Amphiscirpus_nevadensis,0
Androtrichum_giganteum,0
Androtrichum_trigynum,0
Arthrostylis_aphylla,1
Ascolepis_ampullacea,1
Ascolepis_brasiliensis,1
Ascolepis_capensis,1
Ascolepis_densa,1
Ascolepis_dipsacoides,1
Ascolepis_elata,1
Ascolepis_eriocauloides,1
Ascolepis_erythrocephala,1
Ascolepis_fibrillosa,1
Ascolepis_hemisphaerica,1
Ascolepis_lineariglumis,1
Ascolepis_majestuosus,1
Ascolepis_menonguensis,1
Ascolepis_metallorum,1
Ascolepis_neglecta,1
Ascolepis_pinguis,1
Ascolepis_protea,1
Ascolepis_pseudopeteri,1
Ascolepis_pusilla,1
Ascolepis_speciosa,1
Ascolepis_spinulosa,1
Ascolepis_trigona,1
Becquerelia_bullata,1
Becquerelia_clarkei,1
Becquerelia_cymosa,1
Becquerelia_discolor,1
Becquerelia_divaricata,1
Becquerelia_martii,1
Becquerelia_muricata,0
Becquerelia_tuberculata,1
Bisboeckelera_irrigua,1
Bisboeckelera_longifolia,1
Bisboeckelera_microcephala,1
Bisboeckelera_vinacea,1
Blysmus_compressus,0
Blysmus_mongolicola,0
Blysmus_rufus,0
Bolboschoenus_caldwellii,0
Bolboschoenus_capensis,0
Bolboschoenus_glaucus,0
Bolboschoenus_grandispicus,1
Bolboschoenus_laticarpus,0
Bolboschoenus_maritimus,1
Bolboschoenus_medianus,0
Bolboschoenus_nobilis,1
Bolboschoenus_angliae,0
Bolboschoenus_planiculmis,0
Bolboschoenus_robustus,1
Bolboschoenus_stagnicola,0
Bolboschoenus_yagara,0
